Sr. no.,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,sport_type,start_date,timezone,achievement_count,kudos_count,comment_count,athlete_count,photo_count,average_speed,max_speed,distance_km,duration_min,pace_min_per_km,start_dt,hour,weekday,playlist_id,intensity,mood,lyrics,music_condition,temp,humidity,windspeed,precip,conditions
94,2022-07-18T08:38:45Z,Run,5376.1,2906,3058,0.0,"[40.71463180705905, -74.0359656047076]","[40.70491491816938, -74.04122499749064]",Run,2022-07-18T12:38:45Z,(GMT-05:00) America/New_York,6,0,0,1,0,1.85,4.018,5.3761,48.43333333333333,9.009009009009008,2022-07-18 08:38:45+00:00,8,0,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,23.9,87.43,5.0,0.0,Overcast
95,2022-07-10T10:40:05Z,Run,1986.7,1328,1657,2.1,"[40.71589705534279, -74.0447517670691]","[40.7140869833529, -74.0346959978342]",Run,2022-07-10T14:40:05Z,(GMT-05:00) America/New_York,2,0,0,1,0,1.496,5.508,1.9867,22.133333333333333,11.140752671935031,2022-07-10 10:40:05+00:00,10,6,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,24.2,41.65,10.8,0.0,Clear
96,2022-07-10T08:53:17Z,Run,10250.2,4645,5119,0.0,"[40.71456139907241, -74.03596443124115]","[40.71052358485758, -74.04813998378813]",Run,2022-07-10T12:53:17Z,(GMT-05:00) America/New_York,11,0,0,1,0,2.207,4.472,10.2502,77.41666666666667,7.552698158735113,2022-07-10 08:53:17+00:00,8,6,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,21.9,42.79,10.6,0.0,Clear
97,2022-07-03T10:10:13Z,Run,3457.6,1880,8503,7.2,"[40.7148711103946, -74.04965534806252]","[40.7147432025522, -74.03541893698275]",Run,2022-07-03T14:10:13Z,(GMT-05:00) America/New_York,4,0,0,1,0,1.839,9.919,3.4576,31.333333333333332,9.062162579052908,2022-07-03 10:10:13+00:00,10,6,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,26.1,55.46,11.4,0.0,Partially cloudy
98,2022-07-03T08:31:25Z,Run,10300.5,4915,5051,0.0,"[40.714426366612315, -74.03611312620342]","[40.71028796955943, -74.0460607688874]",Run,2022-07-03T12:31:25Z,(GMT-05:00) America/New_York,4,0,0,1,0,2.096,5.975,10.3005,81.91666666666667,7.952688380822938,2022-07-03 08:31:25+00:00,8,6,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,25.0,60.79,9.3,0.0,Overcast
99,2022-06-25T09:04:56Z,Run,7321.8,4205,4439,6.2,"[40.71457321755588, -74.03588220477104]","[40.71482811123133, -74.03567642904818]",Run,2022-06-25T13:04:56Z,(GMT-05:00) America/New_York,7,0,0,1,0,1.741,4.65,7.3218,70.08333333333333,9.571872126162054,2022-06-25 09:04:56+00:00,9,5,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,25.0,59.98,4.0,0.0,Clear
100,2022-06-18T09:43:07Z,Run,10564.2,5277,5681,150.0,"[39.27250860258937, -76.69637337327003]","[39.27244707942009, -76.69636331498623]",Run,2022-06-18T13:43:07Z,(GMT-05:00) America/New_York,3,0,0,1,0,2.002,3.502,10.5642,87.95,8.325287291039547,2022-06-18 09:43:07+00:00,9,5,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,22.2,45.82,23.9,0.0,Partially cloudy
101,2022-06-12T09:20:44Z,Run,7857.2,3900,4113,116.6,"[39.27252494730055, -76.69631998054683]","[39.27245143800974, -76.69639013707638]",Run,2022-06-12T13:20:44Z,(GMT-05:00) America/New_York,6,0,0,1,0,2.015,3.326,7.8572,65.0,8.272667107875579,2022-06-12 09:20:44+00:00,9,6,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,20.5,87.62,6.8,0.0,Partially cloudy
102,2022-05-28T11:11:38Z,Run,6067.2,3334,3555,88.2,"[39.272494772449136, -76.69640866108239]","[39.27246367558837, -76.69636884704232]",Run,2022-05-28T15:11:38Z,(GMT-05:00) America/New_York,3,0,0,1,0,1.82,3.172,6.0672,55.56666666666667,9.158535513361464,2022-05-28 11:11:38+00:00,11,5,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,22.9,61.47,16.4,0.0,Partially cloudy
103,2022-05-22T07:13:30Z,Run,4587.6,2263,2478,56.6,"[39.272621758282185, -76.69633297249675]","[39.27250734530389, -76.69635468162596]",Run,2022-05-22T11:13:30Z,(GMT-05:00) America/New_York,5,0,0,1,0,2.027,3.557,4.5876,37.71666666666667,8.221437498183509,2022-05-22 07:13:30+00:00,7,6,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,24.2,74.72,6.0,0.0,Partially cloudy
104,2022-05-21T07:27:40Z,Run,4313.6,2182,2426,55.0,"[39.27257808856666, -76.69626507908106]","[39.27250818349421, -76.69635669328272]",Run,2022-05-21T11:27:40Z,(GMT-05:00) America/New_York,4,0,0,1,0,1.977,3.874,4.3136,36.36666666666667,8.430699802176063,2022-05-21 07:27:40+00:00,7,5,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,22.7,79.35,8.2,0.0,Partially cloudy
105,2022-03-16T12:12:54Z,Run,2764.0,955,1009,38.5,"[39.25251114182174, -76.7134093400091]","[39.252579705789685, -76.71341864392161]",Run,2022-03-16T16:12:54Z,(GMT-05:00) America/New_York,0,0,0,2,0,2.739,4.77,2.764,15.916666666666666,5.7585624698504585,2022-03-16 12:12:54+00:00,12,2,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,19.6,33.51,10.7,0.0,Partially cloudy
